conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,code
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f7512ab-d46d-402a-8c30-a8878d7c1f88,knowledge,sector-specific,SQL Server Integration Services,"Microsoft SSIS
Microsoft SQL Server Integration Services
SSIS",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program SQL Server Integration Services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Microsoft.",0612
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f993130-082b-4732-b62f-52cdf2096ad9,skill/competence,cross-sector,use methods of logistical data analysis,"interpret data on elements of logistics
interpret logistical data through analytical methods
analyse data on logistical elements
use methods for analysing logistical data
interpret logistical data
utilise methods for analysing logistical data
interpret logistical data through use of analytical methods
utilise logistical data analysis methods
utilise methods of logistical data analysis
analyse logistical data
use logistical data analysis methods",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Read and interpret supply chain and transportation data. Analyse the reliability and availability of findings by using methods such as data mining, data modelling and cost-benefit analysis.",T2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fa43c9c-6178-4046-8b2f-ff5ee131fa33,skill/competence,sector-specific,create exercise programmes for health risks,"develop an exercise programme for health risks
create an exercise programme for health risks
create programmed exercises for health risks
create fitness programmes for health risks
create exercise programs for health risks",,released,2020-06-25T19:56:20.835Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Develop physical exercise programmes for individuals at risk or persons with adverse health conditions.,S3.2.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,skill/competence,transversal,interpret mathematical information,"enjoy working with numbers
apply numeracy skills
apply numerical reasoning
apply mathematical reasoning
demonstrate an understanding of numbers","understanding of numbers
feeling for numbers
numerical reasoning",released,2021-12-16T08:58:23.994Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","Demonstrate an understanding of mathematical terms and concepts, and apply basic mathematical principles and processes to interpret data and facts.",T1.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/702d3840-308a-4d4a-ab61-f40f87d47fff,skill/competence,transversal,interact verbally in Chinese,"interact verbally in Mandarin
speak Mandarin
speak Standard Chinese
speak Cantonese
communicate verbally in Chinese
speak Chinese
verbally interact in Chinese",,released,2025-01-27T09:55:14.297Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Communicate orally in Chinese.,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7053c54a-994e-4b87-865d-a520b5c401c7,skill/competence,sector-specific,establish relationship with the media,"establish a media relationship
develop a relationship with the media
create a bond with the media",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Adopt a professional attitude to respond effectively to the demands of the media.,S1.2.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7077db13-08c2-4482-918c-e6291e04f82b,skill/competence,transversal,understand written Japanese,"read Japanese
understand Japanese writing
make sense of written Japanese
interpret written Japanese
comprehend written Japanese",,released,2025-01-27T14:53:25.183Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Read and comprehend written texts in Japanese.,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/70da7d81-87f5-4724-b72d-c0d79c1d5281,skill/competence,sector-specific,provide fitness information,"pass on fitness facts
give details on fitness
provide information on fitness",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Provide clients with accurate information on the principles of nutrition and fitness exercises.,T4.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,knowledge,sector-specific,project management,"fundamentals of programme management
management of programmes
management of projects
fundamentals of project management
principles of project management
programme management
principles of programme management
programme management activities
project management activities",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The discipline of project management, the activities which comprise this area and the variables implied in it, such as time, resources, requirements, deadlines, and responding to unexpected events.",0413
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/71a6ac5f-f220-4bdc-95b7-b1b2e640fec5,skill/competence,sector-specific,teach mathematics,"educate on mathematics
teaches mathematics
teaching mathematics
provide instruction on mathematics
explain mathematics",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Instruct students in the theory and practice of quantities, structures, shapes, patterns, and geometry.",S1.3.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/71ae4f64-6505-4b6f-91b9-5acfa5721798,skill/competence,cross-sector,obtain financial information,"obtain commercial information
obtain fiscal information
obtain economic information",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Gather information on securities, market conditions, governmental regulations and the financial situation, goals and needs of clients or companies.",S2.4.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/721419a7-f1b6-454c-80f4-2a84ad90dd33,skill/competence,sector-specific,undertake healthcare examination,"undertake patient's assessment
undertake health care examinations
undertake healthcare examinations
undertake a health care examination
assess healthcare users physical state
identify the health problem and resources of the patient",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Assess the healthcare user's physical state, taking detailed information on previous injuries, surgery, general health, resources and lifestyle into account.",S2.1.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7287dff1-7420-4d24-939a-5f4eb15b752b,skill/competence,cross-sector,consult information sources,"consulting information sources
verify with information sources
check information sources
confirm with information sources
consult information source",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Consult relevant information sources to find inspiration, to educate yourself on certain topics and to acquire background information.",S5.5.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72c02483-714c-47de-a3ff-870c5eb634d0,skill/competence,occupation-specific,resolve difficult account allocation cases,"resolving difficult account allocation cases
resolve difficult account allocation case
resolve account allocation cases",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Perform various activities in the account area which require special technical expertise such as registering income from investments, capital levies or dividends and interests from fixed-interest securities.",T3.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7369f779-4b71-4aab-8836-48b69c676eec,skill/competence,sector-specific,operate relational database management system,DBMS,,released,2024-02-09T17:29:09.009Z,"This activity excludes programming activities, changing structure of database or designing databases.",,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Extract, store and verify information using database management systems based on the relational database model, which arranges data into tables of rows and columns, such as Oracle Database, Microsoft SQL Server and MySQL.",S5.5.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/736ef286-fbd3-4e5c-a4b4-d1e2008c9898,skill/competence,cross-sector,plan digital marketing,"develop digital marketing strategies
plan marketing digitally
manage internet advertising",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Develop digital marketing strategies for both leisure and business purposes, create websites and deal with mobile technology and social networking.",S4.1.2
